NAME,B19013_001E,state,county,year
"Forrest County, Mississippi",39840,28,035,2019
"Lafayette County, Mississippi",50272,28,071,2019
"Lowndes County, Mississippi",50441,28,087,2019
"Wilkinson County, Mississippi",27313,28,157,2019
"Jefferson Davis County, Mississippi",32116,28,065,2019
"Scott County, Mississippi",34943,28,123,2019
"Yazoo County, Mississippi",33279,28,163,2019
"Bolivar County, Mississippi",29854,28,011,2019
"Pike County, Mississippi",31784,28,113,2019
"Stone County, Mississippi",45483,28,131,2019
"Kemper County, Mississippi",31103,28,069,2019
"Sunflower County, Mississippi",30838,28,133,2019
"Adams County, Mississippi",29936,28,001,2019
"DeSoto County, Mississippi",67038,28,033,2019
"Delaware County, Pennsylvania",74477,42,045,2019
"Somerset County, Pennsylvania",49089,42,111,2019
"Madison County, Missouri",43636,29,123,2019
"Vernon County, Missouri",43276,29,217,2019
"Nodaway County, Missouri",44232,29,147,2019
"Chariton County, Missouri",46738,29,041,2019
"Wayne County, Missouri",34316,29,223,2019
"Scott County, Missouri",44139,29,201,2019
"Barton County, Missouri",44125,29,011,2019
"Cedar County, Missouri",39365,29,039,2019
"Gasconade County, Missouri",54885,29,073,2019
"Macon County, Missouri",42746,29,121,2019
"Oregon County, Missouri",33601,29,149,2019
"Ste. Genevieve County, Missouri",60129,29,186,2019
"Douglas County, Missouri",37425,29,067,2019
"Henry County, Missouri",45795,29,083,2019
"Lawrence County, Missouri",44742,29,109,2019
"Pulaski County, Missouri",53492,29,169,2019
"Texas County, Missouri",35067,29,215,2019
"Callaway County, Missouri",56938,29,027,2019
"Cooper County, Missouri",52735,29,053,2019
"Gentry County, Missouri",47790,29,075,2019
"Washington County, Virginia",48495,51,191,2019
"Page County, Virginia",51792,51,139,2019
"Alexandria city, Virginia",100939,51,510,2019
"Hampton city, Virginia",56287,51,650,2019
"Arlington County, Virginia",120071,51,013,2019
"Buchanan County, Virginia",31956,51,027,2019
"Stafford County, Virginia",111108,51,179,2019
"Richmond city, Virginia",47250,51,760,2019
"Essex County, Virginia",51954,51,057,2019
"Tazewell County, Virginia",42099,51,185,2019
"Manassas Park city, Virginia",88046,51,685,2019
"Sussex County, Virginia",49487,51,183,2019
"Manassas city, Virginia",81493,51,683,2019
"Salem city, Virginia",57165,51,775,2019
"Charlotte County, Virginia",40573,51,037,2019
"Greensville County, Virginia",50300,51,081,2019
"Thurston County, Washington",72003,53,067,2019
"Columbia County, Washington",53423,53,013,2019
"Guayanilla Municipio, Puerto Rico",17379,72,059,2019
"Sabana Grande Municipio, Puerto Rico",17319,72,121,2019
"Hormigueros Municipio, Puerto Rico",19030,72,067,2019
"Utuado Municipio, Puerto Rico",15399,72,141,2019
"Florida Municipio, Puerto Rico",20442,72,054,2019
"Moca Municipio, Puerto Rico",15037,72,099,2019
"Salinas Municipio, Puerto Rico",18189,72,123,2019
"Mississippi County, Missouri",35357,29,133,2019
"Ozark County, Missouri",31947,29,153,2019
"Bollinger County, Missouri",44158,29,017,2019
"Sumner County, Tennessee",67204,47,165,2019
"Trousdale County, Tennessee",56321,47,169,2019
"Clay County, Tennessee",32167,47,027,2019
"Moultrie County, Illinois",61456,17,139,2019
"Pike County, Illinois",47492,17,149,2019
"Pope County, Illinois",38056,17,151,2019
"St. Clair County, Illinois",55179,17,163,2019
"Shelby County, Illinois",52953,17,173,2019
"Champaign County, Illinois",52797,17,019,2019
"Calhoun County, Illinois",63009,17,013,2019
"Ford County, Illinois",52092,17,053,2019
"Kane County, Illinois",79394,17,089,2019
"Kendall County, Illinois",96563,17,093,2019
"Brown County, Illinois",61655,17,009,2019
"Marion County, Illinois",47519,17,121,2019
"Mason County, Illinois",48417,17,125,2019
"Iroquois County, Illinois",52700,17,075,2019
