state,county,year,median_household_income,annual_rent
42,069,2019,52821,852.0285559864615
42,091,2019,91546,1452.7602210316945
42,019,2019,70668,1252.8697802386012
42,071,2019,66056,955.0743271026982
44,005,2019,79454,1654.246088241133
44,007,2019,58974,1288.9251499685506
44,001,2019,83092,1463.02815495463
45,003,2019,51399,898.8653572248539
45,063,2019,61173,1072.1548280722634
45,015,2019,63309,1328.0810675188336
45,019,2019,64022,1330.375474534849
45,007,2019,50865,872.1485616006074
45,051,2019,50704,1144.901530161175
45,083,2019,52332,1013.9318816639208
45,013,2019,68377,1377.8493315536616
45,079,2019,54767,1009.6876500728589
45,045,2019,60351,1155.9414185767166
45,035,2019,63080,1157.250320421094
45,077,2019,49573,908.4870624301662
46,083,2019,82473,1008.59544042794
46,103,2019,57039,892.4962082265283
53,057,2019,67028,1428.9386686963392
53,063,2019,56904,1022.1612676373567
53,035,2019,75411,1463.4806643636875
53,033,2019,94974,1852.6694175165292
53,029,2019,68604,1358.3348680280237
53,053,2019,72113,1382.327447944466
53,021,2019,63584,1252.8511708100907
53,073,2019,62984,1392.2732389428058
54,011,2019,40028,716.7876555921735
54,003,2019,62515,1144.6388260995448
55,079,2019,50606,1011.760358659427
55,101,2019,61336,899.9422130094854
55,139,2019,58543,716.9640534032087
55,133,2019,87277,1144.22391649129
55,025,2019,73893,1292.9895224801935
56,025,2019,62772,951.9146686854496
47,179,2019,48334,941.0995632944026
47,119,2019,57170,1229.8802359374563
29,101,2019,55273,712.8926848755164
29,165,2019,80393,1132.48360110944
29,510,2019,43896,921.5430393125117
30,111,2019,61264,945.8412798852578
30,063,2019,54062,923.9891854784711
48,451,2019,53903,1093.306825024313
48,485,2019,48650,778.9954650081613
48,181,2019,54815,1082.1666612338265
48,183,2019,50180,881.2405031302222
48,303,2019,52429,1062.9895772989123
48,257,2019,70107,1437.4026850537548
48,027,2019,54884,916.9639305346242
48,061,2019,38758,1005.2117950662551
48,141,2019,46871,1016.9042148455756
48,215,2019,40014,871.2409881045014
48,423,2019,56810,1051.7587815525358
48,187,2019,74496,1400.6203805719472
